SkillID,SkillName,SkillLevel 
1,Java,Expert
2,AWS,Intermediate
3,Data Analysis,Advanced 
4,Project Management,Intermediate 
5,Communication,Expert 
6,Python,Advanced
7,SQL,Expert
8,Cloud Computing,Intermediate 
9,Leadership,Expert
10,Agile Methodologies,Advanced 
11,Network Security,Intermediate 
12,HTML,Advanced 
13,CSS,Intermediate 
14,React,Intermediate
15,JavaScript,Expert 
16,PHP,Intermediate 
17,Database Management,Expert 
18,Web Development,Advanced 
19,Software Testing,Intermediate 
20,Machine Learning,Advanced
